Id_micro,Asignatura,Macro adquirido,Microcompetencia,Macro ref,MacroCompetencias (MC),RA padre (from MacroCompetencias (MC)),CursosActual,Tipologia,Id_asignatura,Fecha creacion,CursosNuevos,auto_number
neo_uC1,Análisis numérico,1.1,Identifica métodos matemáticos que pueden ser utilizados para solucionar un problema determinado.,MC1,MC1,"RA1,RA3",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,08/02/2023 10:54,,1
neo_uC2,Análisis numérico,2.1,Determina las variables de un problema para ser resuelto por medio de métodos numéricos.,MC2,MC2,"RA1,RA3,RA7",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,15/02/2023 9:38,,2
neo_uC3,Análisis numérico,2.2,Transforma limitaciones de problemas físicos y matemáticos en restricciones de un algoritmo.,MC2,MC2,"RA1,RA3,RA7",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,15/02/2023 9:38,,3
neo_uC4,Análisis numérico,3.1,Formula un algoritmo computacional para la solución de problemas matemáticos de forma iterativa.,MC3,MC3,"RA1,RA2,RA6",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,4
neo_uC5,Análisis numérico,3.2,Modela problemas de ingeniería mediante sistemas lineales de matrices para optimizar su análisis.,MC3,MC3,"RA1,RA2,RA6",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,5
neo_uC6,Análisis numérico,3.3,Determina la precisión y complejidad computacional de un algoritmo iterativo para optimizar su rendimiento.,MC3,MC3,"RA1,RA2,RA6",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,6
neo_uC7,Análisis numérico,4.1,Establece y adecúa los modelos matemáticos más apropiados para resolver un problema de ingeniería. ,MC4,MC4,"RA2,RA1",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,08/02/2023 10:54,,7
neo_uC8,Análisis numérico,5.1,Determina el algoritmo computacional mas adecuado para solucionar un problema de una organización.,MC5,MC5,"RA2,RA7",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,15/02/2023 9:38,,8
neo_uC9,Análisis numérico,5.2,Propone los costos computacionales de un algoritmo para ser tenidos en cuenta por una organización. ,MC5,MC5,"RA2,RA7",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,15/02/2023 9:38,,9
neo_uC10,Análisis numérico,6.1,Determina el algoritmo mas apropiado de acuerdo a los recursos computacionales de las organizaciones para optimizar la utilización del mismo.  ,MC6,MC6,"RA2,RA7",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,10
neo_uC11,Análisis numérico,6.2,Evalúa el uso de aproximaciones de problemas complejos de ingeniería para la simplificación de los mismos con el fin de aumentar su uso dentro de las organizaciones de acuerdo a sus limitaciones en recursos computacionales.,MC6,MC6,"RA2,RA7",PA2-ANÁ,Algoritmos y procesamiento de señales,PA2-ANÁ,01/02/2023 11:17,,11
